"","Species","Site","detection","num.samples","Sppcode","Diet","sitecov1"
"100","Amaurornis phoenicurus","TTC2",0,10,30,0,0
"101","Amaurornis phoenicurus","TTS1",0,10,30,0,1
"102","Amaurornis phoenicurus","TTS2",0,10,30,0,0
"103","Anas poecilorhyncha","ADS1",0,10,45,1,1
"104","Anas poecilorhyncha","ADS3",0,10,45,1,0
"105","Anas poecilorhyncha","BD1",0,10,45,1,1
"106","Anas poecilorhyncha","BD2",0,10,45,1,0
"107","Anas poecilorhyncha","BD6",0,10,45,1,0
"108","Anas poecilorhyncha","BDC1",0,10,45,1,1
"109","Anas poecilorhyncha","BDC2",0,10,45,1,0
"110","Anas poecilorhyncha","BDC3",0,10,45,1,0
"111","Anas poecilorhyncha","BDC4",0,10,45,1,0
"112","Anas poecilorhyncha","BDC6",0,10,45,1,0
"113","Anas poecilorhyncha","BDC8",0,10,45,1,1
"114","Anas poecilorhyncha","BN1",0,10,45,1,1
"115","Anas poecilorhyncha","BN2",0,10,45,1,0
"116","Anas poecilorhyncha","BNC1",0,10,45,1,1
"117","Anas poecilorhyncha","BNC2",0,10,45,1,0
"118","Anas poecilorhyncha","BNC3",0,10,45,1,1
"119","Anas poecilorhyncha","CHC1",0,10,45,1,0
"120","Anas poecilorhyncha","CHC2",0,10,45,1,0
"121","Anas poecilorhyncha","CHC3",0,10,45,1,1
"122","Anas poecilorhyncha","CHC4",0,10,45,1,1
"123","Anas poecilorhyncha","CHC5",0,10,45,1,0
"124","Anas poecilorhyncha","CHC7",0,10,45,1,0
"125","Anas poecilorhyncha","CHS1",0,10,45,1,1
"126","Anas poecilorhyncha","CHS2",0,10,45,1,0
"127","Anas poecilorhyncha","CHS4",0,10,45,1,1
"128","Anas poecilorhyncha","CHS6",0,10,45,1,0
"129","Anas poecilorhyncha","MDC1",0,10,45,1,1
"130","Anas poecilorhyncha","MDS2",1,10,45,1,1
"131","Anas poecilorhyncha","MDS3",0,10,45,1,0
"132","Anas poecilorhyncha","MDS4",0,10,45,1,0
"133","Anas poecilorhyncha","TTC1",0,10,45,1,1
"134","Anas poecilorhyncha","TTC2",0,10,45,1,0
"135","Anas poecilorhyncha","TTS1",0,10,45,1,1
"136","Anas poecilorhyncha","TTS2",0,10,45,1,0
