"","Site","Survey","Time"
"203","BDC6","3.0",655
"204","BDC6","4.0",805
"205","BDC6","5.0",720
"206","BDC6","6.0",640
"207","BDC6","7.0",850
"208","BDC6","8.0",825
"209","BDC6","9.0",740
"210","BDC6","10.0",845
"211","BDC8","1.0",1053
"212","BDC8","2.0",943
"213","BDC8","3.0",758
"214","BDC8","4.0",1043
"215","BDC8","5.0",813
"216","BDC8","6.0",953
"217","BDC8","7.0",1113
"218","BDC8","8.0",1013
"219","BDC8","9.0",848
"220","BDC8","10.0",1023
"221","BNC1","1.0",834
"222","BNC1","2.0",809
"223","BNC1","3.0",634
"224","BNC1","4.0",739
"225","BNC1","5.0",859
"226","BNC1","6.0",914
"227","BNC1","7.0",719
"228","BNC1","8.0",824
"229","BNC1","9.0",924
"230","BNC1","10.0",749
"231","BNC2","1.0",645
"232","BNC2","2.0",540
"233","BNC2","3.0",520
"234","BNC2","4.0",615
"235","BNC2","5.0",710
"236","BNC2","6.0",745
"237","BNC2","7.0",550
"238","BNC2","8.0",505
"239","BNC2","9.0",725
"240","BNC2","10.0",555
"241","BNC3","1.0",845
"242","BNC3","2.0",555
"243","BNC3","3.0",700
"244","BNC3","4.0",625
"245","BNC3","5.0",545
"246","BNC3","6.0",515
"247","BNC3","7.0",740
"248","BNC3","8.0",840
"249","BNC3","9.0",900
"250","BNC3","10.0",535
"251","CHC1","1.0",705
"252","CHC1","2.0",800
"253","CHC1","3.0",745
"254","CHC1","4.0",720
"255","CHC1","5.0",655
"256","CHC1","6.0",735
"257","CHC1","7.0",730
"258","CHC1","8.0",755
"259","CHC1","9.0",715
"260","CHC1","10.0",705
"261","CHC2","1.0",725
"262","CHC2","2.0",730
"263","CHC2","3.0",630
"264","CHC2","4.0",700
"265","CHC2","5.0",750
"266","CHC2","6.0",735
"267","CHC2","7.0",640
"268","CHC2","8.0",655
"269","CHC2","9.0",800
"270","CHC2","10.0",725
"271","CHC3","1.0",713
"272","CHC3","2.0",643
"273","CHC3","3.0",808
"274","CHC3","4.0",733
"275","CHC3","5.0",723
"276","CHC3","6.0",623
"277","CHC3","7.0",653
"278","CHC3","8.0",703
"279","CHC3","9.0",613
"280","CHC3","10.0",648
"281","CHC4","1.0",745
"282","CHC4","2.0",715
"283","CHC4","3.0",705
"284","CHC4","4.0",710
"285","CHC4","5.0",630
"286","CHC4","6.0",530
"287","CHC4","7.0",600
"288","CHC4","8.0",733
"289","CHC4","9.0",540
"290","CHC4","10.0",750
"291","CHC5","1.0",733
"292","CHC5","2.0",622
"293","CHC5","3.0",702
"294","CHC5","4.0",647
"295","CHC5","5.0",642
"296","CHC5","6.0",732
"297","CHC5","7.0",612
"298","CHC5","8.0",722
"299","CHC5","9.0",747
"300","CHC5","10.0",757
"301","CHC7","1.0",640
"302","CHC7","2.0",835
"303","CHC7","3.0",740
"304","CHC7","4.0",855
"305","CHC7","5.0",715
"306","CHC7","6.0",700
"307","CHC7","7.0",805
"308","CHC7","8.0",645
"309","CHC7","9.0",605
"310","CHC7","10.0",825
"311","MDC1","1.0",610
"312","MDC1","2.0",745
"313","MDC1","3.0",510
"314","MDC1","4.0",705
"315","MDC1","5.0",800
"316","MDC1","6.0",530
"317","MDC1","7.0",625
"318","MDC1","8.0",645
"319","MDC1","9.0",525
"320","MDC1","10.0",750
"321","TTC1","1.0",702
"322","TTC1","2.0",847
"323","TTC1","3.0",627
"324","TTC1","4.0",647
"325","TTC1","5.0",722
"326","TTC1","6.0",652
"327","TTC1","7.0",617
"328","TTC1","8.0",752
"329","TTC1","9.0",707
"330","TTC1","10.0",637
"331","TTC2","1.0",605
"332","TTC2","2.0",750
"333","TTC2","3.0",705
"334","TTC2","4.0",640
"335","TTC2","5.0",515
"336","TTC2","6.0",625
"337","TTC2","7.0",635
"338","TTC2","8.0",540
"339","TTC2","9.0",850
"340","TTC2","10.0",550
